n_components,n_neighbors,eigen_solver,trustworthiness,continuity,normalized_stress,neighborhood_hit,shepard_diagram_correlation,aggregate,elapsed_time,metrics_time
9,6,dense,0.9912513035767916,0.9977396436079687,7.034489417544791,0.9230714285714287,0.7526581096617444,0.7329440970835868,291.35807532901526,50.391962388996035
9,7,dense,0.9916529596842241,0.9984951575304263,5.952965206715097,0.919342857142857,0.7683628552481814,0.7355707659211378,294.0724956350168,50.77715895700385
9,8,dense,0.9917044391687999,0.9983865380489968,5.186280668535338,0.919,0.7766676316307926,0.7371517217697179,299.7973369739775,51.15063829001156
9,9,dense,0.9925194213634998,0.998294409564807,4.586351173800479,0.9191142857142857,0.7853829762080733,0.7390622185701332,298.90854358600336,50.75062198500382
10,1,dense,0.5296800280308339,0.5995150479813509,0.9728244106895103,0.2757285714285714,0.0855141603224326,0.30352267941473565,230.16543752199505,50.92998970797635
10,2,dense,0.9860571900519143,0.9817051613918167,46.555601158647775,0.9238714285714287,0.6157669546958956,0.7014801469422111,252.8657107949839,50.685795463010436
10,3,dense,0.9899739170230111,0.9922235044262975,18.416336425026945,0.927457142857143,0.6974944413321389,0.7214298011277182,263.6243697919999,49.46483088997775
10,4,dense,0.9916799665346167,0.9953289847403572,11.979256985750451,0.9262285714285714,0.7258817609861021,0.7278238567379294,265.1348421839939,49.273164307989646
10,5,dense,0.9928753485977432,0.9969430888262804,9.025643238726225,0.9282714285714286,0.7465911641870168,0.7329362060364939,268.1559122609906,49.62279699899955
10,6,dense,0.9932684266979391,0.9979756517883958,7.380074737051744,0.9284428571428572,0.7613517570676475,0.7362077385393679,267.7463815669762,49.10141821199795
10,7,dense,0.9935180455644066,0.9987140969352002,6.262408289786355,0.9253857142857144,0.7767417429173197,0.7388719199405283,276.3654809909931,50.641710711002816
10,8,dense,0.9934425582426384,0.9985852237461207,5.458789053683888,0.9220571428571428,0.7831520754926283,0.7394474000677062,279.8725827480084,49.189344059006544
10,9,dense,0.994118917952605,0.998517988358623,4.8290032608940825,0.9232714285714286,0.7951704561142137,0.7422157581993741,273.39943917898927,49.053829078999115
50,1,dense,0.5507003103413755,0.5940049726127312,0.9068361641333965,0.30825714285714284,0.08454260098461393,0.32613377253249337,236.43081751200953,50.706690185004845
50,2,dense,0.9930802053687627,0.9792998226620712,74.22682338942916,0.9238285714285713,0.6438487427443259,0.7080114684407462,272.12250764499186,51.864358116989024
50,3,dense,0.9963158588733321,0.9919656679490296,31.52367537008042,0.9299857142857143,0.7315885058686159,0.7299711493953384,260.14022450201446,50.74832302200957
50,4,dense,0.9973864064756947,0.9956512220585502,20.84656271590298,0.9308,0.7679410914065536,0.7383557439881598,264.3913754269888,50.96595136000542
50,5,dense,0.9978996067102384,0.9976063455515353,15.978426747593188,0.9311714285714286,0.7830709617543687,0.7419496685175142,255.5668068609957,50.84639344399329
50,6,dense,0.9981325157673441,0.9987642535360325,13.14158537068315,0.9324857142857144,0.7970730271715147,0.7452911021521212,268.0042635760037,50.97372866698424
50,7,dense,0.998409672067846,0.9996020408163265,11.26651737184453,0.9321142857142857,0.8128776939431429,0.7486007385083203,264.2080073360121,51.30442584800767
50,8,dense,0.998512706834661,0.9995363599959955,9.9088237129503,0.9323857142857143,0.8218198983313642,0.750450935889547,267.8134017740085,51.23498593000113
50,9,dense,0.9985962072565536,0.9994937073638145,8.844202590997279,0.9322428571428573,0.8284521758390508,0.7517569895204552,265.34649162899586,51.47971121300361
100,1,dense,0.5682660598086466,0.5938917809590549,0.8396592192074067,0.33021428571428574,0.08757527791465906,0.3480576370378479,214.86885817800066,49.946269737993134
100,2,dense,0.993423863392589,0.9771864465197432,86.89908438952283,0.9237,0.6442308818279571,0.707708238348058,242.8647058570059,53.53940300899558
100,3,dense,0.9967273043204667,0.9909463524162293,37.98215993530345,0.9290285714285715,0.7336839703033556,0.7300772396937247,256.97394487500424,55.4913434300106
100,4,dense,0.9977795260500837,0.9951934899818372,25.37243449070297,0.9290714285714287,0.7713901753266323,0.7386869239859964,263.6979746539728,58.87524454999948
100,5,dense,0.9982863278177424,0.9974201822004205,19.589422407897676,0.9290571428571428,0.7864641829114621,0.7422455671573536,260.3504307050025,57.97462413299945
100,6,dense,0.9985185704274702,0.9987356792471719,16.21906560851082,0.9294428571428572,0.7999717222471419,0.7453337658129283,264.0425926920143,57.384622273006244
100,7,dense,0.9987768874333195,0.9996937345365616,13.958100971447909,0.9291571428571428,0.8158559112034065,0.7486967352060862,270.588058882975,57.150920001993654
100,8,dense,0.9988744004118817,0.9996448078600747,12.304379777809126,0.9285428571428571,0.824906857709996,0.7503937846249619,253.43077441101195,53.98610140700475
100,9,dense,0.9989330306193956,0.99960459505456,11.010011446434712,0.9278142857142857,0.8299368811308251,0.7512577585038134,254.5852170319995,54.14960886098561
200,1,dense,0.593056882570828,0.5929907312329277,0.7551835178851823,0.3649,0.0935783134603919,0.377868481875793,200.14229165198049,48.04133421499864
200,2,dense,0.9936200921013114,0.9745805528938976,100.06991041942214,0.9232285714285714,0.6408981294807415,0.7064654691809045,233.31259011500515,57.13951157100382
200,3,dense,0.9968668192154226,0.989400749395764,45.14687167101762,0.9276571428571427,0.7306433565819096,0.7289136136100478,239.3311123829917,63.15806379899732
200,4,dense,0.9979339230296183,0.994337860217668,30.5382756235316,0.927,0.7677455309846751,0.7374034628463924,244.21266614299384,65.10262547098682
200,5,dense,0.9984654877508116,0.996986606695937,23.795214600692685,0.9276714285714286,0.7831456812585441,0.7412538408553443,245.91881950199604,67.1030188149889
200,6,dense,0.9987486549490153,0.9985845029532485,19.851263310029164,0.9277285714285713,0.7962598780680963,0.7442643214797864,246.9347703870153,67.66232000500895
200,7,dense,0.9989427942164952,0.9997453584657409,17.178587780555354,0.9263142857142856,0.811968785550852,0.7473942447894748,251.51690088000032,68.27114722999977
200,8,dense,0.9990623199805501,0.9997016689787338,15.208160159537698,0.9257714285714286,0.8210318596769696,0.7491134554415364,253.02388428300037,68.84432912900229
200,9,dense,0.9991251061882356,0.999663062225591,13.674674475741401,0.9243285714285714,0.8259293499876865,0.749809217966017,255.33811579400208,69.82038795901462
